id,vowel,F1,F2,phonation,f0
F35September10_LRRH_3-19578.432-modal,a,913.573,1663.714,modal,225.695
F35September10_LRRH_3-33271.997-modal,a,890.56,1609.337,modal,205.337
F35September10_LRRH_3-37304.146-modal,ə,518.113,2350.329,modal,301.709
F35September10_LRRH_3-38588.281-modal,a,931.122,1662.498,modal,228.596
F35September10_LRRH_4-1085.374-modal,u,872.17,2667.788,modal,275.34
F35September10_LRRH_4-4202.257-modal,i,410.025,2342.681,modal,204.592
M18September8_LRRH_1-19200.245-modal,a,891.636,1575.035,modal,238.479
M18September8_LRRH_1-6170.772-modal,a,878.904,2127.167,modal,170.893
M18September8_LRRH_1-8455.973-modal,ə,1155.538,2862.008,modal,148.346
M18September8_LRRH_2-2714.213-modal,ə,701.171,2262.114,modal,122.652
M18September8_LRRH_2-466.794-modal,a,779.97,1608.005,modal,211.959
M18September8_LRRH_3-10861.947-modal,a,999.302,1966.114,modal,148.15
M18September8_LRRH_3-18327.54-modal,a,1011.034,2556.517,modal,187.581
M18September8_LRRH_3-22553.043-modal,a,844.11,1949.839,modal,145.184
M18September8_LRRH_3-25942.577-modal,ə,494.414,1799.205,modal,194.128
M18September8_LRRH_3-32648.239-modal,a,779.913,1537.815,modal,142.308
M18September8_LRRH_3-37756.274-modal,u,459.981,1472.262,modal,227.173
M18September8_LRRH_3-4754.418-modal,a,1006.137,2350.343,modal,136.417
M18September8_LRRH_4-2124.522-modal,i,359.599,2553.017,modal,118.092
M21April28_LRRH_1-15680.443-modal,ə,407.685,2128.147,modal,112.06
M21April28_LRRH_2-1299.561-modal,ə,373.742,2147.867,modal,127.001
M21April28_LRRH_2-131.859-modal,a,659.816,1579.491,modal,117.414
M21April28_LRRH_3-32540.241-modal,a,696.543,1957.213,modal,118.104
M21May23_LRRH_1-7371.735-modal,a,816.557,1969.681,modal,160.843
M21May23_LRRH_2-1172.22-modal,ə,449.288,1993.214,modal,112.607
M21May23_LRRH_2-6224.883-modal,ə,735.795,2067.551,modal,163.585
M21May23_LRRH_3-11640.795-modal,ə,482.198,2199.067,modal,180.888
M21May23_LRRH_3-17564.803-modal,a,848.653,1922.734,modal,140.188
M21May23_LRRH_3-21305.04-modal,a,886.276,1891.84,modal,196.155
M21May23_LRRH_3-27276.688-modal,a,764.785,1922.151,modal,176.9
M21May23_LRRH_3-2756.492-modal,i,307.007,2580.889,modal,152.886
M21May23_LRRH_3-30613.023-modal,a,760.26,1737.757,modal,128.264
M21May23_LRRH_3-3690.572-modal,a,923.287,1830.885,modal,135.818
M21May23_LRRH_4-3817.283-modal,i,284.317,2744.697,modal,115.093
M22April08_LRRH_1-1041.042-modal,a,762.177,1601.964,modal,172.896
M22April08_LRRH_1-10812.325-modal,a,764.548,1824.752,modal,202.058
M22April08_LRRH_1-5242.782-modal,a,715.095,1933.754,modal,185.991
M22April08_LRRH_1-8376.124-modal,a,775.189,2065.718,modal,191.162
M22April08_LRRH_2-1315.12-modal,ə,432.903,1933.935,modal,142.833
M22April08_LRRH_2-3671.095-modal,a,824.504,1530.623,modal,197.037
M22April08_LRRH_2-5698.363-modal,a,795.012,1565.785,modal,174.033
M22April08_LRRH_3-13724.995-modal,ə,461.311,1959.386,modal,191.083
M22April08_LRRH_3-14195.513-modal,a,743.773,1681.462,modal,208.589
M22April08_LRRH_3-17743.197-modal,a,815.154,1661.443,modal,247.729
M22April08_LRRH_3-20514.319-modal,ə,542.38,1875.745,modal,207.122
M22April08_LRRH_3-21798.943-modal,a,763.715,1583.729,modal,157.328
M22April08_LRRH_3-23335.701-modal,a,817.469,1775.057,modal,203.333
M22April08_LRRH_3-2566.897-modal,ə,481.365,2399.964,modal,232.602
M22April08_LRRH_3-26104.161-modal,a,766.389,1577.037,modal,144.641
M22April08_LRRH_3-28997.961-modal,ə,425.076,2174.408,modal,238.522
M22April08_LRRH_3-29956.964-modal,a,900.509,1446.839,modal,201.947
M22April08_LRRH_3-3907.697-modal,a,857.819,1529.126,modal,174.405
M22April08_LRRH_3-6920-modal,a,778.694,1809.649,modal,183.315
M22April08_LRRH_3-7808.306-modal,a,670.384,1495.169,modal,143.177
M22April08_LRRH_4-2143.454-modal,a,707.551,2355.839,modal,213.938
M22April11_LRRH_1-14220.984-modal,a,953.496,1793.716,modal,139.959
M22April11_LRRH_4-3030.31-modal,a,867.492,1665.803,modal,171.953
M22June03_LRRH_1-10861.845-modal,a,878.611,1673.075,modal,132.701
M22June03_LRRH_1-6699.266-modal,a,815.479,1607.617,modal,145.842
M22June03_LRRH_2-4538.486-modal,a,866.893,1748.593,modal,222.393
M22June03_LRRH_3-17145.951-modal,a,752.595,1674.577,modal,108.292
M22June03_LRRH_3-27286.272-modal,a,709.976,1774.474,modal,205.265
M22June03_LRRH_3-8942.722-modal,a,787.856,1685.39,modal,128.164
M22June03_LRRH_4-4234.039-modal,i,359.563,2318.466,modal,103.444
M23April09_LRRH_1-19218.267-modal,a,851.605,2653.476,modal,185.537
M23April09_LRRH_1-7222.238-modal,a,798.752,1568.542,modal,178.382
M23April09_LRRH_3-17829.469-modal,a,768.042,1442.914,modal,225.915
M23April09_LRRH_3-28443.512-modal,a,850.591,1780.058,modal,183.134
M23April09_LRRH_3-29411.052-modal,a,846.059,1638.209,modal,166.807
M23April09_LRRH_3-2973.724-modal,i,2468.667,3389.806,modal,236.953
M23April09_LRRH_3-34169.867-modal,u,467.257,2194.47,modal,193.752
M23April09_LRRH_3-34628.532-modal,a,846.8,1853.067,modal,131.953
M23April09_LRRH_3-4026.404-modal,a,987.548,1811.165,modal,189.928
M23April09_LRRH_3-40597.392-modal,a,1026.459,1682.385,modal,217.842
M23April09_LRRH_4-3734.107-modal,i,1680.865,3357.798,modal,147.7
M23April09_LRRH_4-816.008-modal,u,477.057,2483.319,modal,221.298
M24April09_LRRH_2-50.462-modal,a,667.85,1694.707,modal,115.664
M24April09_LRRH_3-4176.178-modal,a,846.114,1821.744,modal,161.81
M25April01_LRRH_1-1165.233-modal,a,702.901,1314.964,modal,129.273
M25April01_LRRH_1-9789.603-modal,a,655.092,1911.042,modal,129.114
